facilityID,siteID,name,county,huc8,type,aquifer,latitude,longitude,sampleDate,projectCode,cas_rn,analyte,fraction,relDepth,result,unit,detect,detectLimit,quantFlag,quantLimit,method,colMethod,resultType,matrix,medium,qualFlag,remark
6,22300009,West Okoboji Lake,Dickinson,10230003,Lake,,43.374803,-95.148909,2012-07-16T10:00:00-05:00,AMBLAKE-ISU,NIT-NO3-NO2,Inorganic nitrogen (nitrate and nitrite) (as N),Dissolved,,0.06,mg/l,False,0.06,,,353.2,ISULAKE,Actual,SW,Water,,
6,22300009,West Okoboji Lake,Dickinson,10230003,Lake,,43.374803,-95.148909,2012-07-16T10:00:00-05:00,AMBLAKE-ISU,NIT-KJELD,Kjeldahl nitrogen (AS N),Total,,0.72,mg/l,True,0.1,,,351.2,ISULAKE,Actual,SW,Water,,
6,22300009,West Okoboji Lake,Dickinson,10230003,Lake,,43.374803,-95.148909,2012-07-16T10:00:00-05:00,AMBLAKE-ISU,7440-44-0,Carbon,Dissolved,,5.24,mg/l,True,2.68,,,5310-B,ISULAKE,Actual,SW,Water,,
6,22300009,West Okoboji Lake,Dickinson,10230003,Lake,,43.374803,-95.148909,2012-07-16T10:00:00-05:00,AMBLAKE-ISU,14265-44-2,Orthophosphate (as P),Dissolved,,0.01,mg/l,False,0.01,,,365.1,ISULAKE,Actual,SW,Water,,
6,22300009,West Okoboji Lake,Dickinson,10230003,Lake,,43.374803,-95.148909,2012-07-16T10:00:00-05:00,AMBLAKE-ISU,PHOSP-PHOSP,Total Phosphorus (as P),Total,,0.0197,mg/l,True,0.01,,,365.1,ISULAKE,Actual,SW,Water,,
6,22300009,West Okoboji Lake,Dickinson,10230003,Lake,,43.374803,-95.148909,2012-07-16T10:00:00-05:00,AMBLAKE-ISU,TSS,Total suspended solids,NonFilt,,2.4,mg/l,False,2.4,,,2540-D,ISULAKE,Actual,SW,Water,,
6,22300009,West Okoboji Lake,Dickinson,10230003,Lake,,43.374803,-95.148909,2012-07-16T10:00:00-05:00,AMBLAKE-ISU,TVSS,Volatile Suspended Solids,NonFilt,,3.2,mg/l,False,3.2,,,160.4,ISULAKE,Actual,SW,Water,,
6,22300009,West Okoboji Lake,Dickinson,10230003,Lake,,43.374803,-95.148909,2012-08-27T14:21:00-05:00,AMBLAKE-ISU,7664-41-7,Ammonia (as N),Dissolved,,0.001,mg/l,True,0.014,,,350.1,ISULAKE,Calculated,SW,Water,,
6,22300009,West Okoboji Lake,Dickinson,10230003,Lake,,43.374803,-95.148909,2012-08-27T14:21:00-05:00,AMBLAKE-ISU,NIT-AMM,Ammonia-nitrogen (as N),Dissolved,,0.018,mg/l,True,0.014,,,350.1,ISULAKE,Actual,SW,Water,,
6,22300009,West Okoboji Lake,Dickinson,10230003,Lake,,43.374803,-95.148909,2012-08-27T14:21:00-05:00,AMBLAKE-ISU,CAL-CARB,Calcium carbonate (as CaCO3),Total,,186,mg/l,True,4,,,2320-B,ISULAKE,Actual,SW,Water,,
6,22300009,West Okoboji Lake,Dickinson,10230003,Lake,,43.374803,-95.148909,2012-08-27T14:21:00-05:00,AMBLAKE-ISU,479-61-8,Chlorophyll a,NonFilt,,4,ug/l,True,2,,,445,ISULAKE,Actual,SW,Water,,
6,22300009,West Okoboji Lake,Dickinson,10230003,Lake,,43.374803,-95.148909,2012-08-27T14:21:00-05:00,AMBLAKE-ISU,TFSS,Fixed suspended solids,NonFilt,,3.2,mg/l,False,3.2,,,2540-E,ISULAKE,Actual,SW,Water,,
6,22300009,West Okoboji Lake,Dickinson,10230003,Lake,,43.374803,-95.148909,2012-08-27T14:21:00-05:00,AMBLAKE-ISU,NIT-NO3-NO2,Inorganic nitrogen (nitrate and nitrite) (as N),Dissolved,,0.06,mg/l,False,0.06,,,353.2,ISULAKE,Actual,SW,Water,,
6,22300009,West Okoboji Lake,Dickinson,10230003,Lake,,43.374803,-95.148909,2012-08-27T14:21:00-05:00,AMBLAKE-ISU,NIT-KJELD,Kjeldahl nitrogen (AS N),Total,,0.52,mg/l,True,0.1,,,351.2,ISULAKE,Actual,SW,Water,,
6,22300009,West Okoboji Lake,Dickinson,10230003,Lake,,43.374803,-95.148909,2012-08-27T14:21:00-05:00,AMBLAKE-ISU,7440-44-0,Carbon,Dissolved,,6.83,mg/l,True,2.68,,,5310-B,ISULAKE,Actual,SW,Water,,
6,22300009,West Okoboji Lake,Dickinson,10230003,Lake,,43.374803,-95.148909,2012-08-27T14:21:00-05:00,AMBLAKE-ISU,14265-44-2,Orthophosphate (as P),Dissolved,,0.01,mg/l,False,0.01,,,365.1,ISULAKE,Actual,SW,Water,,
6,22300009,West Okoboji Lake,Dickinson,10230003,Lake,,43.374803,-95.148909,2012-08-27T14:21:00-05:00,AMBLAKE-ISU,PHOSP-PHOSP,Total Phosphorus (as P),Total,,0.0202,mg/l,True,0.01,,,365.1,ISULAKE,Actual,SW,Water,,
6,22300009,West Okoboji Lake,Dickinson,10230003,Lake,,43.374803,-95.148909,2012-08-27T14:21:00-05:00,AMBLAKE-ISU,TSS,Total suspended solids,NonFilt,,3.2,mg/l,True,2.4,,,2540-D,ISULAKE,Actual,SW,Water,,
6,22300009,West Okoboji Lake,Dickinson,10230003,Lake,,43.374803,-95.148909,2012-08-27T14:21:00-05:00,AMBLAKE-ISU,TVSS,Volatile Suspended Solids,NonFilt,,3.2,mg/l,False,3.2,,,160.4,ISULAKE,Actual,SW,Water,,
6,22300009,West Okoboji Lake,Dickinson,10230003,Lake,,43.374803,-95.148909,2013-05-28T15:03:00-05:00,AMBLAKE-ISU,TURB,Turbidity,Total,,0.5,NTU,True,,,,ISU 2130-B,,Actual,SW,Water,,
6,22300009,West Okoboji Lake,Dickinson,10230003,Lake,,43.374803,-95.148909,2013-05-28T15:03:00-05:00,AMBLAKE-ISU,SPEC-COND,Specific conductance,Dissolved,,440,uS/cm,True,,,,ISU 2510,,Actual,SW,Water,,
6,22300009,West Okoboji Lake,Dickinson,10230003,Lake,,43.374803,-95.148909,2013-05-28T15:03:00-05:00,AMBLAKE-ISU,TDS,Total dissolved solids,Dissolved,,290,mg/l,True,,,,ISU 2510,,Actual,SW,Water,,
6,22300009,West Okoboji Lake,Dickinson,10230003,Lake,,43.374803,-95.148909,2013-05-28T15:03:00-05:00,AMBLAKE-ISU,TEMP-WATER,"Temperature, water",Total,,12.7,deg C,True,,,,ISU 2550,,Actual,SW,Water,,
6,22300009,West Okoboji Lake,Dickinson,10230003,Lake,,43.374803,-95.148909,2013-05-28T15:03:00-05:00,AMBLAKE-ISU,PH,pH,Total,,8.5,None,True,,,,ISU 4500-H,,Actual,SW,Water,,
